Date,High,Low,Open,Close,Volume,Adj Close
10/24/2018,1777.709961,1656.560059,1773.699951,1664.199951,6928400,1664.199951
10/25/2018,1794.810059,1692.01001,1703.339966,1782.170044,10285700,1782.170044
10/26/2018,1698.459961,1603,1649.589966,1642.810059,14963800,1642.810059
10/29/2018,1665.73999,1495,1660,1538.880005,13866100,1538.880005
10/30/2018,1540.98999,1476.359985,1486.160034,1530.420044,12460100,1530.420044
10/31/2018,1623.910034,1565.089966,1569.98999,1598.01001,9390200,1598.01001
11/1/2018,1670.449951,1598.439941,1623.530029,1665.530029,8135500,1665.530029
11/2/2018,1697.439941,1651.829956,1678.589966,1665.530029,6955500,1665.530029
11/5/2018,1658.089966,1596.359985,1657.569946,1627.800049,5624700,1627.800049
11/6/2018,1665,1614.550049,1618.349976,1642.810059,4257400,1642.810059
11/7/2018,1759.22998,1664.079956,1673,1755.48999,8192200,1755.48999
11/8/2018,1784,1725.109985,1755,1754.910034,6534900,1754.910034
11/9/2018,1743.920044,1701.869995,1732.5,1712.430054,5902200,1712.430054
11/12/2018,1708.550049,1630.01001,1698.23999,1636.849976,6806200,1636.849976
11/13/2018,1677.060059,1613.75,1649.290039,1631.170044,5933300,1631.170044
11/14/2018,1673,1597.069946,1656.319946,1599.01001,6486900,1599.01001
11/15/2018,1624.819946,1546.51001,1581.01001,1619.439941,8427300,1619.439941
11/16/2018,1614.47998,1573.119995,1587.5,1593.410034,6066100,1593.410034
11/19/2018,1581.189941,1503.359985,1577.01001,1512.290039,7790000,1512.290039
11/20/2018,1534.75,1420,1437.5,1495.459961,10878800,1495.459961
11/21/2018,1550,1515,1542.98999,1516.72998,5716800,1516.72998
11/23/2018,1536.199951,1501.810059,1517,1502.060059,2707600,1502.060059
11/26/2018,1584.810059,1524.219971,1539,1581.329956,6257700,1581.329956
11/27/2018,1597.650024,1558.01001,1575.98999,1581.420044,5783200,1581.420044
11/28/2018,1681.449951,1601.219971,1613.920044,1677.75,8458700,1677.75
11/29/2018,1689.98999,1652.329956,1674.98999,1673.569946,6613200,1673.569946
11/30/2018,1696,1666.5,1679.5,1690.170044,5761800,1690.170044
12/3/2018,1778.339966,1730,1769.459961,1772.359985,6862300,1772.359985
12/4/2018,1770.339966,1665,1756,1668.400024,8694500,1668.400024
12/6/2018,1701.050049,1609.849976,1614.869995,1699.189941,8789400,1699.189941
12/7/2018,1718.930054,1625.459961,1705.069946,1629.130005,7576100,1629.130005
12/10/2018,1657.98999,1590.869995,1623.839966,1641.030029,7494800,1641.030029
12/11/2018,1679.469971,1619.599976,1678,1643.23999,6244700,1643.23999
12/12/2018,1704.98999,1660.27002,1669,1663.540039,6598000,1663.540039
12/13/2018,1692.119995,1641.5,1680,1658.380005,5271300,1658.380005
12/14/2018,1642.569946,1585,1638,1591.910034,6367200,1591.910034
12/17/2018,1576.130005,1505.01001,1566,1520.910034,8829800,1520.910034
12/18/2018,1567.550049,1523.01001,1540,1551.47998,6523000,1551.47998
12/19/2018,1584.530029,1483.180054,1543.050049,1495.079956,8792200,1495.079956
12/20/2018,1509.5,1432.689941,1484,1460.829956,9991800,1460.829956
12/21/2018,1480,1363.959961,1464.98999,1377.449951,13640300,1377.449951
12/24/2018,1396.030029,1307,1346,1343.959961,7220000,1343.959961
12/26/2018,1473.160034,1363.01001,1368.890015,1470.900024,10411800,1470.900024
12/27/2018,1469,1390.310059,1454.199951,1461.640015,9722000,1461.640015
12/28/2018,1513.469971,1449,1473.349976,1478.02002,8829000,1478.02002
12/31/2018,1520.76001,1487,1510.800049,1501.969971,6954500,1501.969971
1/2/2019,1553.359985,1460.930054,1465.199951,1539.130005,7983100,1539.130005
1/3/2019,1538,1497.109985,1520.01001,1500.280029,6953200,1500.280029
1/4/2019,1594,1518.310059,1530,1575.390015,9182600,1575.390015
1/7/2019,1634.560059,1589.189941,1602.310059,1629.51001,7993200,1629.51001
1/8/2019,1676.609985,1616.609985,1664.689941,1656.579956,8881400,1656.579956
1/9/2019,1667.800049,1641.400024,1652.97998,1659.420044,6348800,1659.420044
1/10/2019,1663.25,1621.619995,1641.01001,1656.219971,6507700,1656.219971
1/11/2019,1660.290039,1636.219971,1640.550049,1640.560059,4686200,1640.560059
1/14/2019,1648.199951,1595.150024,1615,1617.209961,6005900,1617.209961
1/15/2019,1675.160034,1626.01001,1632,1674.560059,5998500,1674.560059
1/16/2019,1705,1675.880005,1684.219971,1683.780029,6366900,1683.780029
1/17/2019,1700.170044,1677.5,1680,1693.219971,4208900,1693.219971
1/18/2019,1716.199951,1691.540039,1712,1696.199951,6020500,1696.199951
1/22/2019,1681.869995,1610.199951,1681,1632.170044,6416800,1632.170044
1/23/2019,1657.430054,1612,1656,1640.02002,5225200,1640.02002
1/24/2019,1657.26001,1631.780029,1641.069946,1654.930054,4089900,1654.930054
1/25/2019,1683.47998,1661.609985,1670.5,1670.569946,4945900,1670.569946
1/28/2019,1645,1614.089966,1643.589966,1637.890015,4837700,1637.890015
1/29/2019,1632.380005,1590.719971,1631.27002,1593.880005,4632800,1593.880005
1/30/2019,1676.949951,1619.680054,1623,1670.430054,5783800,1670.430054
1/31/2019,1736.410034,1679.079956,1692.849976,1718.72998,10910300,1718.72998
2/1/2019,1673.060059,1622.01001,1638.880005,1626.22998,11506200,1626.22998
2/4/2019,1649.630005,1613.5,1623,1633.310059,4929100,1633.310059
2/5/2019,1665.26001,1642.5,1643.339966,1658.810059,4453100,1658.810059
2/6/2019,1672.26001,1633.339966,1670.75,1640.26001,3939900,1640.26001
2/7/2019,1625.540039,1592.910034,1625,1614.369995,4626600,1614.369995
2/8/2019,1588.589966,1566.76001,1586,1588.219971,5657500,1588.219971
2/11/2019,1609.290039,1586,1600.97998,1591,3317300,1591
2/12/2019,1639.400024,1598.880005,1604,1638.01001,4858600,1638.01001
2/13/2019,1656.380005,1637.109985,1647,1640,3560300,1640
2/14/2019,1637.900024,1606.060059,1624.5,1622.650024,4120500,1622.650024
2/15/2019,1628.910034,1604.5,1627.859985,1607.949951,4343900,1607.949951
2/19/2019,1634,1600.560059,1601,1627.579956,3681700,1627.579956
2/20/2019,1634.930054,1610.119995,1630,1622.099976,3337600,1622.099976
2/21/2019,1623.560059,1600.910034,1619.849976,1619.439941,3483400,1619.439941
2/22/2019,1634.939941,1621.170044,1623.5,1631.560059,3096200,1631.560059
2/25/2019,1654.599976,1630.390015,1641.449951,1633,3184500,1633
2/26/2019,1639.98999,1616.130005,1625.97998,1636.400024,2665800,1636.400024
2/27/2019,1641.810059,1615.099976,1628.180054,1641.089966,3148800,1641.089966
2/28/2019,1651.77002,1633.829956,1635.25,1639.829956,3025900,1639.829956
3/1/2019,1674.26001,1651,1655.130005,1671.72998,4974900,1671.72998
3/4/2019,1709.430054,1674.359985,1685,1696.170044,6167400,1696.170044
3/5/2019,1707.800049,1689.01001,1702.949951,1692.430054,3681500,1692.430054
3/6/2019,1697.75,1668.280029,1695.969971,1668.949951,3996000,1668.949951
3/7/2019,1669.75,1620.51001,1667.369995,1625.949951,4948100,1625.949951
3/8/2019,1622.719971,1586.569946,1604.01001,1620.800049,4667000,1620.800049
3/11/2019,1672.290039,1626.01001,1626.119995,1670.619995,3876400,1670.619995
3/12/2019,1684.27002,1660.97998,1669,1673.099976,3614500,1673.099976
3/13/2019,1700,1679.349976,1683,1690.810059,3552000,1690.810059
3/14/2019,1702,1684.339966,1691.199951,1686.219971,2946600,1686.219971
3/15/2019,1718.800049,1693.130005,1703,1712.359985,7550900,1712.359985
3/18/2019,1750,1712.630005,1712.699951,1742.150024,5429100,1742.150024
3/19/2019,1784.160034,1753.51001,1753.51001,1761.849976,6364200,1761.849976
3/20/2019,1799.5,1767.030029,1769.939941,1797.27002,6265600,1797.27002
3/21/2019,1823.75,1787.280029,1796.26001,1819.26001,5767800,1819.26001
3/22/2019,1818.97998,1763.109985,1810.170044,1764.77002,6363000,1764.77002
3/25/2019,1782.680054,1747.5,1757.790039,1774.26001,5103800,1774.26001
3/26/2019,1805.77002,1773.359985,1793,1783.76001,4865900,1783.76001
3/27/2019,1787.5,1745.680054,1784.130005,1765.699951,4324800,1765.699951
3/28/2019,1777.930054,1753.469971,1770,1773.420044,3043000,1773.420044
3/29/2019,1792.859985,1776.630005,1786.579956,1780.75,3320800,1780.75
4/1/2019,1815.670044,1798.72998,1800.109985,1814.189941,4238800,1814.189941
4/2/2019,1820,1805.119995,1811.02002,1813.97998,3448100,1813.97998
4/3/2019,1830,1809.619995,1826.719971,1820.699951,3980600,1820.699951
4/4/2019,1828.75,1804.199951,1820.650024,1818.859985,3623900,1818.859985
4/5/2019,1838.579956,1825.189941,1829,1837.280029,3640500,1837.280029
4/8/2019,1850.199951,1825.109985,1833.22998,1849.859985,3752800,1849.859985
4/9/2019,1853.089966,1831.780029,1845.48999,1835.839966,3714400,1835.839966
4/10/2019,1848,1828.810059,1841,1847.329956,2964000,1847.329956
4/11/2019,1849.949951,1840.310059,1848.699951,1844.069946,2654800,1844.069946
4/12/2019,1851.5,1841.300049,1848.400024,1843.060059,3114400,1843.060059
4/15/2019,1846.849976,1818.900024,1842,1844.869995,3724400,1844.869995
4/16/2019,1869.77002,1848,1851.349976,1863.040039,3044600,1863.040039
4/17/2019,1876.469971,1860.439941,1872.98999,1864.819946,2893500,1864.819946
4/18/2019,1870.819946,1859.47998,1868.790039,1861.689941,2749900,1861.689941
4/22/2019,1888.420044,1845.640015,1855.400024,1887.310059,3373800,1887.310059
4/23/2019,1929.26001,1889.579956,1891.199951,1923.77002,4640400,1923.77002
4/24/2019,1929.689941,1898.160034,1925,1901.75,3675800,1901.75
4/25/2019,1922.449951,1900.310059,1917,1902.25,6099100,1902.25
